sep=;
timestamp;name;ip;port;status;latency_ms
2026-08-07 16:08:45;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:08:45;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:08:45;Wazuh SIEM;10.10.1.162;1514;ONLINE;24,0
2026-08-07 16:08:57;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:08:57;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:08:57;Wazuh SIEM;10.10.1.162;1514;ONLINE;10,4
2026-08-07 16:09:08;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:09:08;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:09:08;Wazuh SIEM;10.10.1.162;1514;ONLINE;9,4
2026-08-07 16:09:20;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:09:20;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:09:20;Wazuh SIEM;10.10.1.162;1514;ONLINE;2,8
2026-08-07 16:09:31;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:09:31;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:09:31;Wazuh SIEM;10.10.1.162;1514;ONLINE;11,6
2026-08-07 16:09:43;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:09:43;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:09:43;Wazuh SIEM;10.10.1.162;1514;ONLINE;36,8
2026-08-07 16:09:54;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:09:54;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:09:54;Wazuh SIEM;10.10.1.162;1514;ONLINE;10,2
2026-08-07 16:10:06;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:10:06;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:10:06;Wazuh SIEM;10.10.1.162;1514;ONLINE;3,6
2026-08-07 16:10:18;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:10:18;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:10:18;Wazuh SIEM;10.10.1.162;1514;ONLINE;10,7
2026-08-07 16:10:29;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:10:29;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:10:29;Wazuh SIEM;10.10.1.162;1514;ONLINE;10,3
2026-08-07 16:10:41;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:10:41;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:10:41;Wazuh SIEM;10.10.1.162;1514;ONLINE;22,5
2026-08-07 16:10:52;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:10:52;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:10:52;Wazuh SIEM;10.10.1.162;1514;ONLINE;11,8
2026-08-07 16:11:04;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:11:04;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:11:04;Wazuh SIEM;10.10.1.162;1514;ONLINE;9,2
2026-08-07 16:11:15;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:11:15;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:11:15;Wazuh SIEM;10.10.1.162;1514;ONLINE;14,4
2026-08-07 16:11:27;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:11:27;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:11:27;Wazuh SIEM;10.10.1.162;1514;ONLINE;33,9
2026-08-07 16:11:38;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:11:38;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:11:38;Wazuh SIEM;10.10.1.162;1514;ONLINE;3,4
2026-08-07 16:11:50;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:11:50;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:11:50;Wazuh SIEM;10.10.1.162;1514;ONLINE;25,0
2026-08-07 16:12:01;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:12:01;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:12:01;Wazuh SIEM;10.10.1.162;1514;ONLINE;109,6
2026-08-07 16:12:13;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:12:13;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:12:13;Wazuh SIEM;10.10.1.162;1514;ONLINE;3,5
2026-08-07 16:12:24;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:12:24;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:12:24;Wazuh SIEM;10.10.1.162;1514;ONLINE;32,2
2026-08-07 16:12:36;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:12:36;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:12:36;Wazuh SIEM;10.10.1.162;1514;ONLINE;13,6
2026-08-07 16:12:47;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:12:47;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:12:47;Wazuh SIEM;10.10.1.162;1514;ONLINE;10,1
2026-08-07 16:12:59;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-07 16:12:59;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-07 16:12:59;Wazuh SIEM;10.10.1.162;1514;ONLINE;12,1
2026-08-07 16:13:10;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
