sep=;
timestamp;hostname;cpu_percent;mem_percent;mem_used_gb;disk_percent;rx_kbps;tx_kbps
2026-08-10 07:19:10;DESKTOP-22AN8KV;0,0;74,8;8,76;99,7;0,0;0,0
2026-08-10 07:19:21;DESKTOP-22AN8KV;30,0;75,7;8,87;99,7;171,0;7364,0
2026-08-10 07:19:33;DESKTOP-22AN8KV;33,8;75,2;8,81;99,7;88,0;74,0
2026-08-10 07:19:44;DESKTOP-22AN8KV;31,7;75,8;8,88;99,7;139,0;5052,0
2026-08-10 07:19:56;DESKTOP-22AN8KV;30,5;76,3;8,94;99,6;600,0;36,0
2026-08-10 07:20:07;DESKTOP-22AN8KV;33,0;77,4;9,07;99,8;93,0;5092,0
2026-08-10 07:20:19;DESKTOP-22AN8KV;30,4;75,6;8,85;99,8;54,0;89,0
2026-08-10 07:20:31;DESKTOP-22AN8KV;25,7;75,4;8,83;99,8;69,0;9,0
2026-08-10 07:20:42;DESKTOP-22AN8KV;22,2;75,4;8,83;99,8;39,0;14,0
2026-08-10 07:20:54;DESKTOP-22AN8KV;23,8;75,1;8,8;99,8;58,0;19,0
2026-08-10 07:21:05;DESKTOP-22AN8KV;23,2;76,8;9,0;99,8;129,0;44,0
2026-08-10 07:21:17;DESKTOP-22AN8KV;21,6;75,8;8,88;99,8;42,0;12,0
2026-08-10 07:21:28;DESKTOP-22AN8KV;26,8;75,9;8,89;99,8;52,0;37,0
2026-08-10 07:21:40;DESKTOP-22AN8KV;22,1;74,5;8,73;99,8;26,0;9,0
2026-08-10 07:21:51;DESKTOP-22AN8KV;30,1;75,5;8,84;99,8;86,0;15,0
2026-08-10 07:22:03;DESKTOP-22AN8KV;23,4;76,7;8,99;99,8;282,0;126,0
2026-08-10 07:22:14;DESKTOP-22AN8KV;20,8;77,8;9,11;99,8;400,0;28,0
2026-08-10 07:22:26;DESKTOP-22AN8KV;29,4;78,4;9,18;99,8;54,0;35,0
2026-08-10 07:22:37;DESKTOP-22AN8KV;36,7;85,1;9,97;99,8;8930,0;333,0
2026-08-10 07:22:49;DESKTOP-22AN8KV;37,4;87,4;10,24;99,8;3018,0;144,0
2026-08-10 07:23:00;DESKTOP-22AN8KV;35,7;85,4;10,0;99,8;388,0;69,0
2026-08-10 07:23:12;DESKTOP-22AN8KV;35,2;91,4;10,71;99,8;141,0;21,0
2026-08-10 07:23:24;DESKTOP-22AN8KV;39,7;85,8;10,05;99,8;189,0;50,0
2026-08-10 07:23:35;DESKTOP-22AN8KV;36,0;85,5;10,02;99,8;208,0;56,0
2026-08-10 07:23:47;DESKTOP-22AN8KV;34,7;86,6;10,14;99,8;210,0;59,0
2026-08-10 07:23:58;DESKTOP-22AN8KV;39,0;84,7;9,92;99,8;216,0;97,0
2026-08-10 07:24:10;DESKTOP-22AN8KV;33,0;83,7;9,81;99,8;50,0;22,0
2026-08-10 07:24:21;DESKTOP-22AN8KV;33,8;84,9;9,94;99,8;173,0;5052,0
2026-08-10 07:24:33;DESKTOP-22AN8KV;39,1;85,9;10,07;99,8;191,0;112,0
2026-08-10 07:24:44;DESKTOP-22AN8KV;36,4;89,0;10,43;99,8;87,0;58,0
2026-08-10 07:24:56;DESKTOP-22AN8KV;41,7;95,4;11,18;99,8;133,0;5034,0
2026-08-10 07:25:07;DESKTOP-22AN8KV;43,9;87,7;10,28;99,8;78,0;71,0
2026-08-10 07:25:19;DESKTOP-22AN8KV;33,5;85,3;9,99;99,8;30,0;43,0
2026-08-10 07:25:30;DESKTOP-22AN8KV;24,4;84,3;9,88;99,8;91,0;5049,0
2026-08-10 07:25:42;DESKTOP-22AN8KV;26,2;83,2;9,75;99,8;95,0;54,0
2026-08-10 07:25:53;DESKTOP-22AN8KV;24,3;83,0;9,72;99,8;43,0;15,0
2026-08-10 07:26:05;DESKTOP-22AN8KV;18,9;82,3;9,64;99,8;42,0;30,0
2026-08-10 07:26:16;DESKTOP-22AN8KV;24,6;82,5;9,67;99,8;90,0;25,0
2026-08-10 07:26:28;DESKTOP-22AN8KV;17,9;82,4;9,65;99,8;58,0;14,0
2026-08-10 07:26:40;DESKTOP-22AN8KV;25,3;82,4;9,65;99,8;74,0;29,0
2026-08-10 07:26:51;DESKTOP-22AN8KV;33,6;83,7;9,8;99,8;101,0;37,0
2026-08-10 07:27:03;DESKTOP-22AN8KV;30,7;82,5;9,66;99,8;100,0;35,0
2026-08-10 07:27:14;DESKTOP-22AN8KV;29,4;87,6;10,26;99,8;735,0;82,0
2026-08-10 07:27:26;DESKTOP-22AN8KV;26,3;86,0;10,07;99,8;157,0;74,0
2026-08-10 07:27:37;DESKTOP-22AN8KV;22,8;84,8;9,94;99,8;123,0;29,0
2026-08-10 07:27:49;DESKTOP-22AN8KV;23,8;85,3;9,99;99,8;259,0;49,0
2026-08-10 07:28:00;DESKTOP-22AN8KV;22,8;84,9;9,95;99,8;112,0;39,0
2026-08-10 07:28:12;DESKTOP-22AN8KV;21,9;84,6;9,91;99,8;69,0;26,0
2026-08-10 07:28:23;DESKTOP-22AN8KV;26,7;80,8;9,46;99,8;89,0;67,0
2026-08-10 07:28:35;DESKTOP-22AN8KV;16,8;81,1;9,5;99,8;41,0;45,0
2026-08-10 07:28:46;DESKTOP-22AN8KV;19,8;80,9;9,48;99,8;137,0;39,0
2026-08-10 07:28:58;DESKTOP-22AN8KV;15,6;81,0;9,49;99,8;128,0;22,0
2026-08-10 07:29:10;DESKTOP-22AN8KV;17,5;80,9;9,48;99,8;87,0;22,0
2026-08-10 07:29:21;DESKTOP-22AN8KV;22,0;81,3;9,52;99,8;117,0;45,0
2026-08-10 07:29:33;DESKTOP-22AN8KV;22,6;81,3;9,53;99,8;68,0;27,0
2026-08-10 07:29:44;DESKTOP-22AN8KV;23,4;81,5;9,55;99,8;75,0;21,0
2026-08-10 07:29:56;DESKTOP-22AN8KV;22,8;81,5;9,55;99,8;27,0;17,0
2026-08-10 07:30:07;DESKTOP-22AN8KV;19,5;81,2;9,51;99,8;48,0;22,0
2026-08-10 07:30:19;DESKTOP-22AN8KV;24,7;81,3;9,52;99,8;43,0;23,0
2026-08-10 07:30:30;DESKTOP-22AN8KV;29,4;84,0;9,84;99,8;278,0;124,0
2026-08-10 07:30:42;DESKTOP-22AN8KV;24,5;82,8;9,7;99,8;111,0;47,0
2026-08-10 07:30:53;DESKTOP-22AN8KV;20,3;83,0;9,73;99,8;182,0;79,0
2026-08-10 07:31:05;DESKTOP-22AN8KV;25,5;83,9;9,82;99,8;821,0;69,0
2026-08-10 07:31:16;DESKTOP-22AN8KV;29,9;83,5;9,78;99,8;277,0;46,0
2026-08-10 07:31:28;DESKTOP-22AN8KV;18,8;82,9;9,71;99,8;193,0;24,0
2026-08-10 07:31:40;DESKTOP-22AN8KV;22,1;85,7;10,04;99,8;198,0;42,0
2026-08-10 07:31:51;DESKTOP-22AN8KV;26,8;86,4;10,12;99,8;128,0;7,0
2026-08-10 07:32:03;DESKTOP-22AN8KV;25,4;86,2;10,09;99,8;150,0;44,0
2026-08-10 07:32:14;DESKTOP-22AN8KV;28,4;86,6;10,14;99,8;153,0;32,0
2026-08-10 07:32:26;DESKTOP-22AN8KV;21,8;83,9;9,83;99,8;150,0;19,0
2026-08-10 07:32:37;DESKTOP-22AN8KV;26,3;81,7;9,58;99,8;164,0;44,0
2026-08-10 07:32:49;DESKTOP-22AN8KV;31,2;83,1;9,73;99,8;226,0;5319,0
2026-08-10 07:33:00;DESKTOP-22AN8KV;32,9;84,6;9,92;99,8;533,0;93,0
2026-08-10 07:33:12;DESKTOP-22AN8KV;30,9;84,7;9,92;99,8;100,0;61,0
2026-08-10 07:33:23;DESKTOP-22AN8KV;25,7;84,3;9,87;99,8;85,0;128,0
2026-08-10 07:33:35;DESKTOP-22AN8KV;33,4;86,8;10,17;99,8;219,0;215,0
2026-08-10 07:33:46;DESKTOP-22AN8KV;29,7;84,4;9,88;99,8;289,0;5483,0
2026-08-10 07:33:58;DESKTOP-22AN8KV;29,4;85,0;9,96;99,8;291,0;72,0
2026-08-10 07:34:10;DESKTOP-22AN8KV;26,1;84,1;9,85;99,8;149,0;24,0
2026-08-10 07:34:21;DESKTOP-22AN8KV;29,9;84,4;9,89;99,8;189,0;56,0
2026-08-10 07:34:33;DESKTOP-22AN8KV;29,1;85,2;9,99;99,8;183,0;50,0
2026-08-10 07:34:44;DESKTOP-22AN8KV;25,8;84,6;9,91;99,8;151,0;27,0
2026-08-10 07:34:56;DESKTOP-22AN8KV;28,8;85,3;10,0;99,8;172,0;47,0
2026-08-10 07:35:07;DESKTOP-22AN8KV;23,4;84,4;9,89;99,8;120,0;13,0
2026-08-10 07:35:19;DESKTOP-22AN8KV;21,5;83,5;9,78;99,8;116,0;23,0
2026-08-10 07:35:30;DESKTOP-22AN8KV;31,4;83,7;9,81;99,8;208,0;50,0
2026-08-10 07:35:42;DESKTOP-22AN8KV;23,6;83,8;9,81;99,8;105,0;12,0
2026-08-10 07:35:53;DESKTOP-22AN8KV;29,3;83,6;9,8;99,8;93,0;58,0
2026-08-10 07:36:05;DESKTOP-22AN8KV;24,1;83,5;9,78;99,8;29,0;5,0
2026-08-10 07:36:16;DESKTOP-22AN8KV;25,6;83,9;9,83;99,8;104,0;32,0
2026-08-10 07:36:28;DESKTOP-22AN8KV;28,1;83,3;9,76;99,8;77,0;14,0
2026-08-10 07:36:39;DESKTOP-22AN8KV;23,6;82,8;9,71;99,8;36,0;6,0
2026-08-10 07:36:51;DESKTOP-22AN8KV;22,7;83,1;9,74;99,8;40,0;15,0
2026-08-10 07:37:02;DESKTOP-22AN8KV;25,2;82,4;9,65;99,8;35,0;7,0
2026-08-10 07:37:14;DESKTOP-22AN8KV;21,3;82,1;9,62;99,8;38,0;8,0
2026-08-10 07:37:26;DESKTOP-22AN8KV;28,6;85,3;9,99;99,8;134,0;57,0
2026-08-10 07:37:37;DESKTOP-22AN8KV;27,3;84,7;9,92;99,8;67,0;34,0
2026-08-10 07:37:49;DESKTOP-22AN8KV;25,4;84,7;9,93;99,8;52,0;19,0
2026-08-10 07:38:00;DESKTOP-22AN8KV;30,4;83,8;9,82;99,8;88,0;35,0
2026-08-10 07:38:12;DESKTOP-22AN8KV;22,8;83,5;9,79;99,8;43,0;6,0
