sep=;
timestamp;name;ip;port;status;latency_ms
2026-08-10 07:19:10;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-10 07:19:10;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-10 07:19:10;Wazuh SIEM;10.10.1.162;1514;ONLINE;47,2
2026-08-10 07:19:10;Laptop Saya (Dashboard);10.10.89.2;9090;OFFLINE;
2026-08-10 07:19:10;kholis;10.10.89.5;8080;OFFLINE;
2026-08-10 07:19:21;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-10 07:19:21;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-10 07:19:21;Wazuh SIEM;10.10.1.162;1514;ONLINE;14,0
2026-08-10 07:19:21;Laptop Saya (Dashboard);10.10.89.2;9090;OFFLINE;
2026-08-10 07:19:21;kholis;10.10.89.5;8080;OFFLINE;
2026-08-10 07:19:33;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-10 07:19:33;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-10 07:19:33;Wazuh SIEM;10.10.1.162;1514;ONLINE;9,5
2026-08-10 07:19:33;Laptop Saya (Dashboard);10.10.89.2;9090;OFFLINE;
2026-08-10 07:19:33;kholis;10.10.89.5;8080;OFFLINE;
2026-08-10 07:19:44;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-10 07:19:44;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-10 07:19:44;Wazuh SIEM;10.10.1.162;1514;ONLINE;34,2
2026-08-10 07:19:44;Laptop Saya (Dashboard);10.10.89.2;9090;OFFLINE;
2026-08-10 07:19:44;kholis;10.10.89.5;8080;OFFLINE;
2026-08-10 07:19:56;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
2026-08-10 07:19:56;Badak LNG Spring;10.10.1.188;1433;OFFLINE;
2026-08-10 07:19:56;Wazuh SIEM;10.10.1.162;1514;ONLINE;3,5
2026-08-10 07:19:56;Laptop Saya (Dashboard);10.10.89.2;9090;OFFLINE;
2026-08-10 07:19:56;kholis;10.10.89.5;8080;OFFLINE;
2026-08-10 07:20:07;Exaquantum PIMS Server;10.10.88.213;1433;OFFLINE;
